GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bait,es.iespuertodelacruz.bait.api,Validar,0,50,1,1,0,15,1,6,0,6
bait,es.iespuertodelacruz.bait.controlador.personasController,UsuarioController,25,294,17,55,5,78,17,30,0,11
bait,es.iespuertodelacruz.bait.vista,AppVista,68,0,10,0,29,0,9,0,3,0
bait,es.iespuertodelacruz.bait.vista,MenuUsuario,564,0,28,0,190,0,30,0,9,0
bait,es.iespuertodelacruz.bait.vista,MenuAdmin,1240,0,73,0,427,0,73,0,19,0
bait,es.iespuertodelacruz.bait.modelo,Fichero,15,49,2,4,5,16,2,4,0,3
bait,es.iespuertodelacruz.bait.api.movimientos,Envio,5,122,9,9,2,37,9,13,0,13
bait,es.iespuertodelacruz.bait.api.movimientos,Pedido,5,164,11,11,2,49,11,17,0,17
bait,es.iespuertodelacruz.bait.api.personas,Usuario,4,271,18,20,2,77,18,31,0,30
bait,es.iespuertodelacruz.bait.controlador.movimientosController,PedidoController,10,252,6,32,2,68,6,23,0,10
bait,es.iespuertodelacruz.bait.controlador.movimientosController,EnvioController,10,172,7,29,2,51,7,20,0,9
bait,es.iespuertodelacruz.bait.api.productos,Marca,4,67,3,5,2,21,3,10,0,9
bait,es.iespuertodelacruz.bait.api.productos,Categoria,4,67,3,5,2,21,3,10,0,9
bait,es.iespuertodelacruz.bait.api.productos,Producto,4,174,8,10,2,52,8,20,0,19
bait,es.iespuertodelacruz.bait.modelo.personasModelo,UsuarioModelo,21,376,1,5,6,91,1,11,0,9
bait,es.iespuertodelacruz.bait.controlador.productosController,ProductoController,25,272,9,41,5,82,9,29,0,13
bait,es.iespuertodelacruz.bait.controlador.productosController,CategoriaController,10,135,5,21,2,41,5,16,0,8
bait,es.iespuertodelacruz.bait.controlador.productosController,MarcaController,10,133,5,21,2,40,5,16,0,8
bait,es.iespuertodelacruz.bait.modelo.productosModelo,CategoriaModelo,21,211,1,5,6,58,1,11,0,9
bait,es.iespuertodelacruz.bait.modelo.productosModelo,MarcaModelo,21,211,1,5,6,58,1,11,0,9
bait,es.iespuertodelacruz.bait.modelo.productosModelo,ProductoModelo,21,329,0,4,6,84,0,13,0,11
bait,es.iespuertodelacruz.bait.modelo.movimientosModelo,PedidoModelo,21,285,0,4,6,71,0,11,0,9
bait,es.iespuertodelacruz.bait.modelo.movimientosModelo,EnvioModelo,21,241,0,4,6,63,0,11,0,9
bait,es.iespuertodelacruz.bait.exceptions,ApiException,5,4,0,0,2,2,1,1,1,1
bait,es.iespuertodelacruz.bait.exceptions,PersistenciaException,4,5,0,0,2,2,1,1,1,1
bait,es.iespuertodelacruz.bait.modelo.mysql,UtilidadesSQL,0,129,0,8,0,27,0,12,0,8
bait,es.iespuertodelacruz.bait.modelo.mysql,Bbdd,66,173,5,13,19,57,5,12,1,7
bait,es.iespuertodelacruz.bait.modelo.mysql,BbddSqlite,8,17,0,0,2,6,1,2,1,2
